"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA1111.1","NR2F2",0.74821679133837,2.18936751330879,"cortex_late","down","promoter",FALSE,0.00646595215467794,0.256892847501779,0.208201202492486,"NR2F2"
"MA0141.3","ESRRB",0.871586919615649,1.85084275742417,"cortex_late","down","promoter",FALSE,0.0140979914412418,-1.23719169277586,0.0538021583252273,"ESRRB"
"MA1149.1","RARA::RXRG",0.454469218522418,1.85084275742417,"cortex_late","down","promoter",FALSE,0.0140979914412418,0.149275406051572,0.583960222172284,"RARA"
"MA0818.1","BHLHE22",0.90970417902939,1.11888479342972,"cortex_late","down","promoter",FALSE,0.0760527997674777,2.60969134217934,0.0147362418120288,"BHLHE22"
"MA0592.3","ESRRA",0.484795054632118,1.11888479342972,"cortex_late","down","promoter",FALSE,0.0760527997674777,-0.616565060989549,0.0889287925938677,"ESRRA"
"MA0160.1","NR4A2",0.340728833305802,0.514095701891994,"cortex_late","down","promoter",FALSE,0.306128876840831,-0.099963853280352,0.860557992521686,"NR4A2"
"MA0154.4","EBF1",0.249410753737706,0.514095701891994,"cortex_late","down","promoter",FALSE,0.306128876840831,0.0789783965357946,0.851382829431161,"EBF1"
"MA1151.1","RORC",0.518199721800334,0.365204876236176,"cortex_late","down","promoter",FALSE,0.431315557883259,-1.13986236165977,0.0443930641612915,"RORC"
"MA1509.1","IRF6",0.502613323055809,0.365204876236176,"cortex_late","down","promoter",FALSE,0.431315557883259,-0.421448845583532,0.179310696495779,"IRF6"
"MA1112.2","NR4A1",0.405602296266536,0.365204876236176,"cortex_late","down","promoter",FALSE,0.431315557883259,-0.877932818285481,0.295695214214979,"NR4A1"
"MA0771.1","HSF4",0.426220110580513,0.296137351789413,"cortex_late","down","promoter",FALSE,0.505664713074139,1.05728511176318,0.0480884855409424,"HSF4"
"MA0843.1","TEF",0.641727068066537,0.250005491051306,"cortex_late","down","promoter",FALSE,0.562334215209274,-0.864944303734186,0.00748630965046787,"TEF"
"MA0017.2","NR2F1",0.272128789520122,0.217231766603312,"cortex_late","down","promoter",FALSE,0.6064126236502,0.714106291964725,0.214361008768726,"NR2F1"
"MA1535.1","NR2C1",0.199022266601807,0.217231766603312,"cortex_late","down","promoter",FALSE,0.6064126236502,0.0513481072925432,0.848764100034936,"NR2C1"
"MA1574.1","THRB",0.32690930456487,0.217231766603312,"cortex_late","down","promoter",FALSE,0.6064126236502,-1.6658269470324,0.0099448486175386,"THRB"
"MA0846.1","FOXC2",0.430770351826682,0.170097131354568,"cortex_late","down","promoter",FALSE,0.675931784172755,0.430539472349024,0.239486083808496,"FOXC2"
"MA1110.1","NR1H4",0.413749257512003,0.170097131354568,"cortex_late","down","promoter",FALSE,0.675931784172755,-1.4795007136102,0.0245097754849855,"NR1H4"
"MA0071.1","RORA",0.348418901329147,0.163019516246513,"cortex_late","down","promoter",FALSE,0.687037565351245,-0.386721146891125,0.400755729885775,"RORA"
"MA0152.1","NFATC2",0.264292316683528,0.163019516246513,"cortex_late","down","promoter",FALSE,0.687037565351245,0.460547363681982,0.29695714802985,"NFATC2"
"MA1548.1","PLAGL2",0.111970380792684,0.163019516246513,"cortex_late","down","promoter",FALSE,0.687037565351245,0.00148680787333522,0.992684284962528,"PLAGL2"
"MA0891.1","GSC2",0.453697127891269,0.153497267066722,"cortex_late","down","promoter",FALSE,0.702267762960462,-1.27976744344108,0.0773524078228098,"GSC2"
"MA0504.1","NR2C2",0.166878997953391,0.122567157047838,"cortex_late","down","promoter",FALSE,0.754106775667597,0.0261954527076078,0.894017430809098,"NR2C2"
"MA0597.1","THAP1",0.261634100104156,0.0980436689178467,"cortex_late","down","promoter",FALSE,0.79791445181953,-0.393221135299563,0.113535365474224,"THAP1"
"MA0646.1","GCM1",0.193252845504841,0.0699148363648254,"cortex_late","down","promoter",FALSE,0.851304959772834,-1.55196553705747,0.0936892960361109,"GCM1"
"MA1114.1","PBX3",0.236975615824399,0.0699148363648254,"cortex_late","down","promoter",FALSE,0.851304959772834,0.368727398392041,0.317576972386,"PBX3"
"MA1133.1","JUN::JUNB(var.2)",0.395869147727551,0.0699148363648254,"cortex_late","down","promoter",FALSE,0.851304959772834,0.234618959475633,0.479714656230028,"JUN"
"MA1550.1","PPARD",0.405653434513476,0.0699148363648254,"cortex_late","down","promoter",FALSE,0.851304959772834,0.608619133164281,0.0516790956070259,"PPARD"
"MA0649.1","HEY2",0.199475633792239,0.060178491042936,"cortex_late","down","promoter",FALSE,0.870605705469329,-0.408026083806639,0.434808319004231,"HEY2"
"MA0694.1","ZBTB7B",0.140824807436547,0.060178491042936,"cortex_late","down","promoter",FALSE,0.870605705469329,0.154685075131229,0.690580599688603,"ZBTB7B"
