"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA1111.1","NR2F2",0.719040021332784,1.76086412182471,"cortex_late","down","promoter",FALSE,0.017343465397187,0.25083891617585,0.222832215271184,"NR2F2"
"MA1149.1","RARA::RXRG",0.440701447159568,1.62927631465602,"cortex_late","down","promoter",FALSE,0.0234813837060644,0.136091981256486,0.611362538640729,"RARA"
"MA0141.3","ESRRB",0.827614165362285,1.34408132832032,"cortex_late","down","promoter",FALSE,0.045281277580781,-1.28453064368206,0.0377797473826803,"ESRRB"
"MA0160.1","NR4A2",0.460561898576453,1.08289366012792,"cortex_late","down","promoter",FALSE,0.0826240235188966,-0.0847014456279496,0.883972872545245,"NR4A2"
"MA0771.1","HSF4",0.607719261468289,0.914385916114387,"cortex_late","down","promoter",FALSE,0.121790688017332,1.02207314332088,0.0470963824090366,"HSF4"
"MA0592.3","ESRRA",0.480768977175129,0.914385916114387,"cortex_late","down","promoter",FALSE,0.121790688017332,-0.608206137724949,0.0994022927880583,"ESRRA"
"MA0818.1","BHLHE22",0.859829795388519,0.865980600166057,"cortex_late","down","promoter",FALSE,0.136150549924299,2.62570340289903,0.0175362268964315,"BHLHE22"
"MA1151.1","RORC",0.54623938488157,0.407981588634159,"cortex_late","down","promoter",FALSE,0.390857465349583,-1.11452511687552,0.0489929491937334,"RORC"
"MA1535.1","NR2C1",0.231265135818711,0.407981588634159,"cortex_late","down","promoter",FALSE,0.390857465349583,0.0737951410149003,0.745970281869099,"NR2C1"
"MA1112.2","NR4A1",0.414400981896673,0.407981588634159,"cortex_late","down","promoter",FALSE,0.390857465349583,-0.886839565583435,0.304379979828154,"NR4A1"
"MA0017.2","NR2F1",0.309912351086434,0.369018815159531,"cortex_late","down","promoter",FALSE,0.427544363029629,0.69381230140943,0.231854717997705,"NR2F1"
"MA0486.2","HSF1",0.603012766726042,0.22814087182553,"cortex_late","down","promoter",FALSE,0.591369780820908,-0.0819535439365673,0.604841037714736,"HSF1"
"MA0071.1","RORA",0.402549760929623,0.213119091934269,"cortex_late","down","promoter",FALSE,0.612182496442435,-0.361064425540366,0.419005831013643,"RORA"
"MA1509.1","IRF6",0.433825491271663,0.163489048656953,"cortex_late","down","promoter",FALSE,0.686295184086643,-0.400123438782607,0.1786866707416,"IRF6"
"MA1574.1","THRB",0.317105571303171,0.163489048656953,"cortex_late","down","promoter",FALSE,0.686295184086643,-1.64088332630497,0.0117359827762105,"THRB"
"MA0154.4","EBF1",0.192324865710732,0.163489048656953,"cortex_late","down","promoter",FALSE,0.686295184086643,0.0705077451459912,0.869678746385901,"EBF1"
"MA0846.1","FOXC2",0.448162053447753,0.158491807010416,"cortex_late","down","promoter",FALSE,0.694237698423422,0.422980245283098,0.257109956244467,"FOXC2"
"MA0152.1","NFATC2",0.257551351574179,0.0960584158452164,"cortex_late","down","promoter",FALSE,0.801570238963889,0.429360097778478,0.301594692263252,"NFATC2"
"MA0770.1","HSF2",0.473962608017854,0.0960584158452164,"cortex_late","down","promoter",FALSE,0.801570238963889,0.0570072184504249,0.729396393191233,"HSF2"
"MA1110.1","NR1H4",0.402268410717345,0.0960584158452164,"cortex_late","down","promoter",FALSE,0.801570238963889,-1.46432152794742,0.0290160332017628,"NR1H4"
"MA1550.1","PPARD",0.465006942425163,0.0960584158452164,"cortex_late","down","promoter",FALSE,0.801570238963889,0.593602782098353,0.0556067092227686,"PPARD"
"MA0139.1","CTCF",0.168978273667649,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,-0.183644533598926,0.176418526527996,"CTCF"
"MA0476.1","FOS",0.315994777627435,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,0.0826020248799741,0.94439835226923,"FOS"
"MA0478.1","FOSL2",0.307343435924611,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,1.02982069670662,0.00558578197927428,"FOSL2"
"MA0497.1","MEF2C",0.313167752614135,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,0.319385298715242,0.442916752514626,"MEF2C"
"MA0501.1","MAF::NFE2",0.34423457179596,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,-0.717073390939694,0.140313942794167,"MAF"
"MA0523.1","TCF7L2",0.307420175911307,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,0.0108251517279818,0.952896055846399,"TCF7L2"
"MA0042.2","FOXI1",0.298675024910294,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,-1.3503212932461,0.0110861569905551,"FOXI1"
"MA0131.2","HINFP",0.0939196804375086,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,-0.0795704979626128,0.704311439553746,"HINFP"
"MA0666.1","MSX1",0.319547361930201,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,0.0921852394115059,0.836693600199941,"MSX1"
"MA0112.3","ESR1",0.460004212387763,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,-0.594796239557795,0.104998049439265,"ESR1"
"MA0741.1","KLF16",0.0584625976652795,0.0169774972237301,"cortex_late","down","promoter",FALSE,0.961662105188923,0.614789041339658,0.0460520770974238,"KLF16"
